,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT2G37110,643.1550168,2.299782044,0.35385521,6.499217707,8.07E-11,1.74E-09
AT2G37430,231.5919332,11.40671354,1.304568214,8.743669681,2.26E-18,9.42E-17
AT2G37870,8.893056821,6.692929075,2.576467722,2.597715088,0.009384633,0.041736462
AT2G37940,954.8956174,3.382474397,0.321606316,10.51743773,7.18E-26,4.59E-24
AT2G37970,193.7885135,2.428376024,0.496990298,4.88616384,1.03E-06,1.31E-05
AT2G37980,73.66339919,3.520326213,0.925012934,3.805704856,0.000141401,0.001160139
AT2G38240,549.0309001,12.64742082,1.260677251,10.03224323,1.10E-23,6.17E-22
AT2G38250,322.398576,4.686736269,0.494517619,9.477389868,2.61E-21,1.27E-19
AT2G38290,328.1443316,2.684223279,0.440457401,6.094172269,1.10E-09,2.11E-08
AT2G38340,136.2646789,3.769965708,0.600794113,6.274971123,3.50E-10,7.04E-09
AT2G38350,28.82745295,6.296404225,1.793494807,3.510689968,0.000446945,0.003175638
AT2G38360,456.1292779,3.077925933,0.569259267,5.406896489,6.41E-08,9.74E-07
AT2G38465,216.6428577,3.767031675,0.485611417,7.757296361,8.68E-15,2.68E-13
AT2G38470,5133.904004,7.240970408,0.242586092,29.84907479,9.02E-196,8.69E-192
AT2G38780,734.9913154,3.624396401,0.308465611,11.74975838,7.08E-32,6.31E-30
AT2G38790,657.8766051,8.838834384,0.546434084,16.17548145,7.51E-59,1.95E-56
AT2G38823,28.0844808,3.19523187,1.19049006,2.683963501,0.007275505,0.033803955
AT2G38830,92.59893737,2.096022146,0.762351673,2.749416339,0.00597015,0.028714005
AT2G38860,1056.184242,3.104440661,0.391328423,7.933082496,2.14E-15,6.93E-14
AT2G39030,47.81375373,9.129986883,1.52714442,5.978469855,2.25E-09,4.18E-08
AT2G39050,81.38975932,2.651316022,0.736937612,3.597748276,0.000320984,0.002387288
AT2G39210,286.8946603,4.6644492,0.601209223,7.758445844,8.60E-15,2.66E-13
AT2G39420,305.9071798,3.446664214,0.690247866,4.993371782,5.93E-07,7.88E-06
AT2G39650,453.9286352,4.227680453,0.383051593,11.03684342,2.54E-28,1.91E-26
AT2G39660,592.5391477,2.900426756,0.277328648,10.45844625,1.34E-25,8.43E-24
AT2G40000,875.7652484,2.569148006,0.27166876,9.456913658,3.17E-21,1.54E-19
AT2G40095,222.2836185,4.688569007,0.719278634,6.518432198,7.10E-11,1.54E-09
AT2G40110,99.89665243,2.100431915,0.615749536,3.411179044,0.000646826,0.004341042
AT2G40113,104.4771811,9.295493065,1.319033294,7.047201239,1.83E-12,4.56E-11
AT2G40140,2528.230575,3.978869552,0.205304439,19.38033861,1.13E-83,6.40E-81
AT2G40180,103.8437432,9.273900834,1.612130476,5.752574603,8.79E-09,1.53E-07
AT2G40270,630.5890371,2.672057696,0.323629117,8.256542917,1.50E-16,5.33E-15
AT2G40340,63.24531724,4.229621329,1.132742156,3.733966557,0.000188488,0.001492393
AT2G40715,106.8652835,2.777330668,0.90136929,3.081235071,0.002061438,0.011767071
AT2G40750,282.960652,2.704725477,0.541253194,4.997153843,5.82E-07,7.74E-06
AT2G40910,18.78643558,6.818048353,2.207521435,3.088553636,0.002011334,0.011508369
AT2G41010,133.5883251,2.9427581,0.620360861,4.743623087,2.10E-06,2.56E-05
AT2G41100,9320.021601,5.84265297,0.235111946,24.8505151,2.55E-136,4.47E-133
AT2G41105,5115.841853,6.029846375,0.223296125,27.00381105,1.33E-160,4.28E-157
AT2G41110,1924.980932,4.249734214,0.238485756,17.81965631,4.97E-71,1.74E-68
AT2G41120,127.5277071,2.346962528,0.715580589,3.279801835,0.0010388,0.006572921
AT2G41170,42.21640125,3.630593487,1.307683065,2.776355818,0.005497201,0.026889486
AT2G41180,145.942664,5.992966628,0.85254903,7.029468591,2.07E-12,5.14E-11
AT2G41230,48.27872056,4.609995441,1.257231107,3.666784423,0.00024562,0.001886547
AT2G41231,36.40862922,4.200778041,1.418292299,2.961856343,0.003057904,0.016454722
AT2G41380,446.8830658,4.592771092,0.572345106,8.024478663,1.02E-15,3.37E-14
AT2G41410,1132.257763,2.73257432,0.299430825,9.125895179,7.11E-20,3.22E-18
AT2G41630,671.7384806,2.659801565,0.313237939,8.491313567,2.04E-17,7.74E-16
AT2G41640,392.7040589,2.959688506,0.478241965,6.188684227,6.07E-10,1.20E-08
AT2G41690,26.11705373,8.256861727,1.713432224,4.818901857,1.44E-06,1.80E-05
AT2G41730,1217.835431,7.501170715,1.021260562,7.345011639,2.06E-13,5.53E-12
AT2G41835,221.4645208,4.031366394,0.500202892,8.05946239,7.66E-16,2.56E-14
AT2G41880,471.730044,5.117236378,0.499193969,10.250998,1.17E-24,6.87E-23
AT2G41890,455.0097122,2.04923073,0.371857085,5.510801897,3.57E-08,5.60E-07
