,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT5G02080,16.63730229,-6.677478352,1.904552398,-3.506061771,0.00045479,0.003220565
AT5G02260,411.1318563,-2.361364024,0.448788411,-5.261642159,1.43E-07,2.08E-06
AT5G02640,10.16661585,-6.851701995,2.473475887,-2.77007026,0.00560442,0.027247759
AT5G02650,27.28934041,-3.800505965,1.251725806,-3.03621284,0.002395702,0.013390123
AT5G02750,83.96419825,-3.622867832,1.015410452,-3.567885109,0.000359874,0.002639809
AT5G03180,55.08245356,-6.67063989,1.25204123,-5.327811681,9.94E-08,1.48E-06
AT5G03310,21.08648686,-7.896665976,1.948634085,-4.052410885,5.07E-05,0.000461775
AT5G04050,25.04648455,-4.062991938,1.280920219,-3.171932083,0.001514284,0.00907439
AT5G04130,81.12220693,-3.005174321,0.876269249,-3.429510193,0.000604672,0.004093817
AT5G04470,85.53623856,-2.573100436,0.66984284,-3.841349467,0.00012236,0.001020442
AT5G04475,63.71761931,-3.073808435,0.749966756,-4.098592919,4.16E-05,0.000387261
AT5G04700,41.89953379,-5.072359196,1.394321369,-3.637869512,0.000274903,0.002079106
AT5G05130,24.92243663,-5.311158925,1.399985847,-3.793723299,0.000148405,0.001210382
AT5G05800,98.0846036,-2.726744224,0.724438298,-3.763942672,0.000167255,0.001348692
AT5G05830,30.17126301,-4.240447555,1.208293866,-3.509450535,0.000449034,0.003186405
AT5G06100,99.17484651,-2.00813049,0.733856388,-2.736407999,0.006211396,0.029622634
AT5G06265,47.5004579,-4.507858256,0.915895468,-4.921804304,8.57E-07,1.11E-05
AT5G06340,155.4383583,-2.60436884,0.747068627,-3.486117269,0.000490086,0.003439
AT5G06480,23.5951623,-6.978667763,1.741530781,-4.007203226,6.14E-05,0.000548787
AT5G06690,362.5088108,-2.188481007,0.528390868,-4.141784313,3.45E-05,0.000328699
AT5G06790,24.35313245,-8.112189958,1.922835071,-4.218869355,2.46E-05,0.000242276
AT5G06940,18.35798357,-4.373554271,1.64213672,-2.663331389,0.007737118,0.035636286
AT5G08070,17.3431512,-7.616380369,1.926711344,-3.953046933,7.72E-05,0.000671134
AT5G08270,65.9091179,-3.193690089,0.820451678,-3.892599861,9.92E-05,0.000840569
AT5G08320,55.60702018,-3.91514004,1.190953786,-3.287398793,0.001011175,0.006436211
AT5G08350,109.3941291,-2.423821308,0.941462494,-2.574527741,0.010037704,0.044090762
AT5G09225,24.55084233,-6.3955486,1.568980541,-4.07624469,4.58E-05,0.000420706
AT5G09250,53.98991627,-4.447653912,0.969305481,-4.588495576,4.46E-06,5.17E-05
AT5G09820,131.0313682,-2.124877997,0.774966681,-2.74189594,0.006108569,0.029255471
AT5G09990,21.2548644,-7.914807017,1.909184328,-4.145648433,3.39E-05,0.000323524
AT5G09995,47.60764198,-4.815266985,0.946978987,-5.084872052,3.68E-07,5.05E-06
AT5G10080,53.76643874,-2.903326607,1.041418847,-2.787856794,0.005305799,0.026132555
AT5G10460,88.83964267,-2.187857258,0.698980851,-3.130067521,0.001747661,0.010243296
AT5G11070,1119.656944,-2.886494406,0.499697955,-5.776478328,7.63E-09,1.34E-07
AT5G11950,207.8310507,-2.512731278,0.502528522,-5.000176443,5.73E-07,7.63E-06
AT5G12900,102.4907018,-2.320033583,0.565480236,-4.10276688,4.08E-05,0.000381075
AT5G12970,19.00563624,-7.753038059,2.088777277,-3.711759097,0.000205824,0.001613069
AT5G13130,12.88800858,-7.187850683,2.150340854,-3.342656431,0.000829806,0.005417944
AT5G13720,101.1200575,-2.711710137,0.588936299,-4.604420108,4.14E-06,4.83E-05
AT5G13920,13.65498455,-7.273811379,2.068493839,-3.516477179,0.000437314,0.003115257
AT5G14070,27.8811467,-4.620341498,1.513372123,-3.05301084,0.002265578,0.012743377
AT5G14090,98.14102875,-2.459759128,0.899010814,-2.736072905,0.006217725,0.029645472
AT5G14100,46.70571823,-5.908924411,1.310693616,-4.508242306,6.54E-06,7.31E-05
AT5G14350,28.87850318,-7.466501743,1.572794306,-4.747284316,2.06E-06,2.52E-05
AT5G14390,151.5931179,-2.524820129,0.743602172,-3.395391009,0.000685307,0.004561127
AT5G14940,183.3463033,-3.398395432,0.942862949,-3.604336595,0.000312951,0.00233205
AT5G15330,52.06751495,-4.380253001,1.039112702,-4.215378172,2.49E-05,0.000245169
AT5G16000,227.310631,-2.685397683,0.465733273,-5.765956264,8.12E-09,1.42E-07
AT5G16310,44.87863512,-3.334069151,1.01782853,-3.275668793,0.001054121,0.006656733
AT5G16540,102.811706,-2.279981358,0.897807396,-2.539499416,0.011101123,0.047780505
AT5G16570,152.9841911,-2.00226446,0.739385458,-2.708011683,0.006768764,0.031802051
