,control_1,control_2,control_3,uvc_1,uvc_2,uvc_3
AT5G07900,22,83,24,0,2,6
AT5G07910,125,145,34,763,151,63
AT5G07920,139,260,83,280,43,76
AT5G07930,0,0,0,0,0,0
AT5G07940,389,584,231,394,231,184
AT5G07950,126,59,33,151,0,9
AT5G07960,147,254,122,677,35,49
AT5G07970,320,468,219,537,193,321
AT5G07980,183,417,193,387,162,245
AT5G07990,0,6,0,1,0,0
AT5G08000,14,55,1,0,0,0
AT5G08005,0,0,0,0,0,0
AT5G08010,80,109,37,83,45,48
AT5G08020,55,77,56,4,15,18
AT5G08030,23,0,0,0,0,0
AT5G08040,185,191,43,163,28,137
AT5G08050,473,820,180,300,31,352
AT5G08055,0,0,0,0,0,0
AT5G08060,614,660,348,667,467,367
AT5G08070,44,39,28,0,0,0
AT5G08080,290,284,111,296,253,136
AT5G08090,0,0,0,0,0,0
AT5G08100,188,200,90,281,4,69
AT5G08110,66,87,10,221,54,79
AT5G08120,215,220,80,723,20,175
AT5G08130,229,522,261,480,138,367
AT5G08139,343,131,182,866,265,426
AT5G08141,0,0,0,0,0,0
AT5G08150,0,0,1,0,0,0
AT5G08160,198,307,167,45,307,114
AT5G08170,369,466,243,242,177,184
AT5G08180,269,420,211,1294,230,393
AT5G08190,110,155,129,417,46,271
AT5G08200,90,155,24,708,46,149
AT5G08230,423,397,195,1156,66,101
AT5G08240,7,0,0,372,68,65
AT5G08250,0,0,1,0,0,0
AT5G08260,105,226,56,171,55,90
AT5G08270,105,174,105,10,12,13
AT5G08280,1189,2196,908,2172,475,801
AT5G08290,537,430,245,1320,370,313
AT5G08300,513,484,175,1521,468,548
AT5G08305,30,24,0,56,0,10
AT5G08310,75,31,8,158,2,6
AT5G08315,0,0,0,0,0,0
AT5G08320,99,97,112,1,1,15
AT5G08330,179,347,184,467,62,96
AT5G08335,15,25,12,265,0,25
AT5G08340,339,340,87,208,7,58
AT5G08350,337,284,56,69,1,56
AT5G08360,29,20,3,0,31,0
AT5G08370,455,347,238,359,102,118
AT5G08380,268,461,272,37,51,222
AT5G08391,0,0,0,0,27,0
AT5G08390,391,359,234,77,142,128
AT5G08400,22,219,42,69,47,55
AT5G08410,334,692,250,777,160,295
AT5G08415,104,168,50,99,57,35
AT5G08420,549,633,252,949,120,321
AT5G08430,140,252,55,52,2,83
AT5G08440,204,184,30,361,7,78
AT5G08450,589,574,329,1559,364,376
AT5G08460,1,0,0,0,0,1
AT5G08470,353,387,199,234,107,57
AT5G08480,30,8,10,1,0,11
AT5G08490,46,54,10,1,0,22
AT5G08500,120,354,131,138,91,127
AT5G08505,0,0,0,0,0,0
AT5G08510,192,250,104,202,115,66
AT5G08520,795,934,489,1186,216,318
AT5G08530,1444,1503,811,3568,1173,958
AT5G08535,23,99,40,258,28,17
AT5G08540,593,563,248,667,244,51
AT5G08550,268,297,86,198,125,112
AT5G08560,408,584,218,1878,252,374
AT5G08565,11,14,0,0,0,0
AT5G08570,244,442,174,753,90,153
AT5G08580,82,197,158,499,33,3
AT5G08590,282,507,187,372,74,272
AT5G08600,23,17,7,0,6,1
AT5G08610,281,431,76,708,150,265
AT5G08620,91,156,86,343,179,123
AT5G08630,394,306,72,691,122,285
AT5G08640,0,0,0,5,4,0
AT5G08650,461,826,283,598,152,176
AT5G08660,201,220,167,608,254,222
AT5G08670,2977,4033,1644,4657,2087,1733
AT5G08680,1524,1714,763,3691,1227,1170
AT5G08690,2072,2549,1441,4034,1308,1333
AT5G08695,2,0,0,0,0,0
AT5G08710,28,21,102,40,3,169
AT5G08720,271,262,296,220,13,165
AT5G08730,0,0,0,0,0,0
AT5G08740,321,258,26,472,47,37
AT5G08750,97,161,54,287,39,109
AT5G08760,49,100,52,1,10,81
AT5G08770,58,63,76,259,12,81
AT5G08780,55,199,42,489,131,69
AT5G08790,180,368,144,11935,2432,3420
AT5G09210,0,0,0,0,0,0
AT5G09220,623,480,682,2621,849,317
AT5G09225,23,128,31,1,0,1
AT5G09230,45,114,59,7,0,22
AT5G09240,30,88,61,0,34,4
AT5G09250,110,124,93,16,0,5
AT5G09260,60,71,15,39,28,73
AT5G09270,82,51,49,10,3,19
AT5G09280,8,0,0,0,0,0
AT5G09290,0,8,1,45,0,0
AT5G09300,32,203,47,43,4,43
AT5G09310,6,67,53,63,38,52
AT5G09315,31,39,4,0,13,1
AT5G09320,2,0,0,0,0,1
AT5G09330,281,415,231,2768,589,993
AT5G09340,0,0,0,0,0,0
AT5G09350,157,142,87,475,56,144
AT5G09360,1,0,0,0,0,0
AT5G09370,0,0,0,0,0,0
AT5G09380,64,65,8,1,37,50
AT5G09390,185,166,168,836,115,165
AT5G09400,229,266,33,782,70,132
AT5G09410,327,390,128,610,51,212
AT5G09420,44,53,2,722,79,389
AT5G09430,10,1,0,1,0,0
AT5G09440,207,82,34,85,95,81
AT5G09445,62,23,49,144,0,20
AT5G09450,117,147,62,544,15,78
AT5G09460,552,860,383,1304,357,559
AT5G09470,0,0,0,1,0,0
AT5G09480,0,0,2,0,0,0
AT5G09490,0,0,0,0,0,0
AT5G09500,0,0,1,0,0,26
AT5G09510,329,575,209,773,203,137
AT5G09520,0,2,0,0,0,0
AT5G09530,8,1,0,1,3,1
AT5G09540,12,29,1,0,1,0
AT5G09550,0,0,0,0,0,0
AT5G09560,0,0,0,0,0,0
AT5G09570,0,10,0,134,0,4
AT5G09580,3,46,16,6,16,43
AT5G09590,361,533,192,1111,417,286
AT5G09600,37,18,11,9,1,49
AT5G09610,0,1,0,0,0,0
AT5G09620,361,578,263,902,274,322
AT5G09630,10,70,33,31,29,9
AT5G09640,1,3,0,1,0,1
AT5G09650,1439,1960,1067,1559,475,699
AT5G09660,1391,3155,1213,2199,536,824
AT5G09670,194,282,156,350,146,227
AT5G09680,105,86,15,1411,77,289
AT5G09690,21,59,15,166,9,37
AT5G09700,4,2,2,0,1,3
AT5G09711,0,0,0,0,0,0
AT5G09720,1,0,0,0,0,0
AT5G09730,679,633,690,1691,680,653
AT5G09740,62,107,78,33,34,4
AT5G09750,1,2,3,0,0,0
AT5G09760,304,452,119,632,98,102
AT5G09770,75,122,47,38,30,28
AT5G09780,0,0,0,1,0,0
AT5G09790,45,49,58,24,90,17
AT5G09800,40,22,51,1463,177,386
AT5G09805,16,28,6,0,0,6
AT5G09810,2422,3284,1541,5091,2367,2092
AT5G09820,180,310,195,73,66,8
AT5G09830,65,193,86,330,41,75
AT5G09840,45,45,88,142,86,115
AT5G09850,583,421,274,1053,173,453
AT5G09860,206,182,83,276,124,56
AT5G09870,867,822,584,1638,332,316
AT5G09876,0,3,0,364,131,225
AT5G09880,405,617,337,1681,569,636
AT5G09890,248,267,180,739,82,107
AT5G09900,412,678,230,1421,224,379
AT5G09910,0,0,0,30,1,0
AT5G09920,125,167,49,467,279,132
AT5G09930,0,6,0,0,0,1
AT5G09940,0,0,0,0,0,0
AT5G09950,16,4,1,4,0,22
AT5G09960,118,167,72,192,42,4
AT5G09970,0,0,16,0,0,0
AT5G09976,0,19,0,0,0,26
AT5G09978,0,0,0,37,12,2
AT5G09980,4,0,0,0,3,8
AT5G09990,78,79,7,0,0,0
AT5G09995,138,105,61,7,1,4
AT5G10000,0,0,0,0,0,0
AT5G10010,486,654,235,887,206,128
AT5G10020,298,436,236,425,147,210
AT5G10030,200,312,59,286,41,56
AT5G10040,0,0,0,0,0,0
AT5G10050,77,184,56,0,0,45
AT5G10060,272,415,53,1029,25,138
AT5G10070,101,166,79,312,0,56
AT5G10080,175,108,43,3,14,12
AT5G10090,2,9,0,2,0,0
AT5G10100,7,49,21,32,11,11
AT5G10110,46,129,51,17,84,20
AT5G10120,0,0,0,0,0,0
AT5G10130,0,0,0,1,0,0
AT5G10140,12,25,3,394,55,13
AT5G10150,116,187,70,61,0,33
AT5G10160,192,431,249,273,84,67
AT5G10170,588,652,496,562,397,358
AT5G10180,1924,2822,861,7647,2802,1996
AT5G10190,116,60,150,437,68,77
AT5G10200,265,359,202,386,124,180
AT5G10210,1,1,0,0,0,0
AT5G10220,0,0,0,0,0,0
AT5G10230,0,0,1,0,24,0
AT5G10240,164,188,49,111,5,22
AT5G10250,10,5,0,0,0,58
AT5G10260,0,30,0,22,0,1
AT5G10270,255,239,60,682,113,95
AT5G10280,10,0,0,1,0,0
AT5G10290,678,479,420,1180,295,270
AT5G10300,25,6,8,195,79,75
AT5G10310,41,12,15,54,0,4
AT5G10320,46,76,25,3,22,0
AT5G10330,43,54,9,22,20,11
AT5G10336,2,0,0,0,0,0
AT5G10340,1980,2895,1219,32387,9123,6881
AT5G10350,391,502,195,435,36,82
AT5G10360,1132,1967,757,2726,642,832
AT5G10370,158,231,95,487,126,89
AT5G10380,21,21,16,591,113,233
AT5G10390,158,185,59,238,0,20
AT5G10400,167,381,192,309,12,65
AT5G10410,0,12,1,0,30,10
AT5G10420,0,0,0,0,0,0
AT5G10430,123,83,16,33,22,12
AT5G10435,121,83,15,33,20,7
AT5G10440,9,5,0,0,0,1
AT5G10450,1536,2459,1457,3727,990,1218
AT5G10460,179,213,101,112,22,9
AT5G10470,512,1133,513,1153,192,230
AT5G10480,86,169,100,208,100,92
AT5G10490,238,383,202,493,155,121
AT5G10500,0,0,19,0,1,0
AT5G10510,128,200,50,7,43,56
AT5G10520,75,25,21,273,192,145
AT5G10540,1190,1602,824,1172,176,672
AT5G10530,27,55,23,1,0,8
AT5G10550,607,686,461,847,147,401
AT5G10560,249,364,128,348,41,169
AT5G10570,0,0,0,0,0,0
AT5G10580,1,1,0,3,1,0
AT5G10590,0,0,0,0,0,0
AT5G10600,65,54,41,88,107,121
AT5G10605,72,76,44,88,114,121
AT5G10610,184,79,97,222,76,92
AT5G10620,10,46,40,0,2,28
AT5G10625,2,3,0,909,188,167
AT5G10630,125,292,45,241,18,83
AT5G10650,226,199,45,269,31,214
AT5G10660,5,26,0,0,0,4
AT5G10680,36,14,20,1,0,33
AT5G10690,186,318,181,682,9,105
AT5G10695,93,57,17,850,128,192
AT5G10700,12,43,17,472,16,55
AT5G10710,54,147,37,214,76,98
AT5G10720,1,1,0,1,8,0
AT5G10730,61,69,37,38,103,13
AT5G10740,41,17,11,2,0,24
AT5G10745,93,124,46,9,0,156
AT5G10750,75,121,91,28,3,38
AT5G10760,0,20,0,112,22,20
AT5G10770,268,353,198,512,95,50
AT5G10780,310,504,225,260,117,105
AT5G10790,152,256,105,186,91,136
AT5G10800,60,143,59,37,0,18
AT5G10810,47,204,69,345,27,48
AT5G10820,4,19,0,65,44,6
AT5G10830,2,21,4,21,2,1
AT5G10840,335,484,209,738,186,351
AT5G10860,1328,1868,844,2436,724,822
AT5G10870,50,79,0,99,5,5
AT5G10880,0,0,9,0,0,0
AT5G10890,5,0,9,0,0,0
AT5G10900,20,45,18,170,5,136
AT5G10910,95,188,45,53,15,21
AT5G10920,419,293,158,8,132,100
AT5G10930,35,50,51,226,10,27
AT5G10940,257,404,135,619,14,175
AT5G10946,15,64,74,130,0,28
AT5G10950,307,201,220,519,31,91
AT5G10960,912,1311,736,3157,754,802
AT5G10970,39,10,2,108,0,6
AT5G10980,465,864,270,1295,481,400
AT5G10990,0,0,0,0,0,0
AT5G11000,318,580,201,524,239,213
AT5G11010,16,173,115,168,1,63
AT5G11020,37,66,14,1,0,11
AT5G11030,83,148,20,43,73,85
AT5G11040,325,459,296,478,167,118
AT5G11050,0,0,0,0,0,0
AT5G11060,2262,2313,1493,1940,493,616
AT5G11070,1867,3318,1501,140,249,268
AT5G11080,0,3,0,3,0,11
AT5G11090,222,331,132,710,373,169
AT5G11100,17,58,4,6,46,1
AT5G11110,122,146,38,33,20,45
AT5G11130,0,0,0,2,0,0
AT5G11140,2,0,0,62,15,22
AT5G11150,144,114,119,375,70,159
AT5G11160,12,8,0,0,0,0
AT5G11170,635,1301,370,1932,421,426
AT5G11180,2,1,0,1,0,1
AT5G11190,0,0,0,0,0,0
AT5G11200,524,754,235,1224,447,502
AT5G11210,0,0,0,0,44,0
AT5G11220,0,0,0,0,0,0
AT5G11230,39,115,48,265,142,109
AT5G11240,62,217,23,540,242,268
AT5G11250,216,255,94,473,69,102
AT5G11260,55,67,57,4,46,6
AT5G11270,236,241,34,74,68,52
AT5G11280,84,110,67,16,0,28
AT5G11290,0,0,1,0,0,0
AT5G11300,13,35,189,48,4,20
AT5G11310,82,54,43,11,113,29
AT5G11320,2,0,0,1,0,9
AT5G11330,474,439,157,299,76,90
AT5G11340,59,199,71,506,70,89
AT5G11350,120,173,70,417,75,71
AT5G11360,5,16,0,0,0,0
AT5G11370,0,0,0,1,0,0
AT5G11380,159,247,107,60,186,127
AT5G11390,195,223,33,354,27,117
AT5G11400,0,1,8,0,0,0
AT5G11410,0,0,1,13,0,2
AT5G11412,0,0,0,0,0,0
AT5G11416,0,0,0,0,0,0
AT5G11420,154,282,137,300,139,160
AT5G11430,197,346,20,484,182,145
AT5G11425,0,17,0,0,0,13
AT5G11440,0,0,0,0,0,0
AT5G11450,277,485,246,355,89,174
AT5G11460,9,24,0,0,0,1
AT5G11470,11,66,7,1,0,2
AT5G11480,328,525,243,574,60,159
AT5G11490,607,719,224,1800,174,387
AT5G11500,839,1035,456,3058,526,654
AT5G11510,89,107,30,345,6,279
AT5G11520,597,769,227,1017,657,673
AT5G11530,292,310,173,400,38,128
AT5G11540,38,45,9,160,62,32
AT5G11550,143,56,9,120,5,46
AT5G11560,779,1150,352,1259,671,1078
AT5G11565,0,0,0,0,0,0
AT5G11570,0,13,0,0,6,0
AT5G11580,440,506,256,512,20,94
AT5G11590,10,18,0,0,1,1
AT5G11600,18,20,11,182,77,16
AT5G11610,10,41,1,68,6,9
AT5G11620,54,46,42,150,0,4
AT5G11630,17,71,21,137,5,23
AT5G11640,157,127,98,42,141,2
AT5G11650,24,106,29,450,252,229
AT5G11660,0,0,0,0,0,0
AT5G11670,701,1124,586,14616,4372,3699
AT5G11680,243,296,99,338,153,223
AT5G11690,56,163,93,16,72,19
AT5G11700,815,802,350,3426,769,975
AT5G11710,366,494,284,1424,449,225
AT5G11720,307,357,255,460,72,92
AT5G11730,88,170,72,136,86,20
AT5G11740,1502,1939,1201,4999,1174,1356
AT5G11750,61,58,43,39,20,18
AT5G11760,91,95,24,118,35,54
AT5G11770,685,640,425,1644,457,348
AT5G11780,42,38,21,284,8,30
AT5G11790,357,429,94,493,171,178
AT5G11800,121,187,52,182,22,72
AT5G11810,184,189,12,55,92,54
AT5G11820,15,0,0,0,0,0
AT5G11830,0,0,0,0,0,0
AT5G11840,41,143,76,268,20,127
AT5G11850,301,414,187,877,376,223
AT5G11860,135,230,93,245,34,238
AT5G11870,0,7,0,3,0,0
AT5G11880,415,714,188,364,303,188
AT5G11890,281,267,137,261,2,55
AT5G11900,104,184,54,164,158,50
AT5G11910,21,67,75,0,99,68
AT5G11920,4,0,28,2,0,0
AT5G11930,0,0,0,0,0,0
AT5G11940,12,4,9,1,2,8
AT5G11950,390,361,335,128,54,35
AT5G11960,206,199,48,925,70,182
AT5G11970,226,262,163,1366,308,518
AT5G11975,158,218,124,1293,291,426
AT5G11980,95,159,98,130,66,35
AT5G11990,27,4,11,88,0,5
AT5G12000,0,2,5,1,0,1
AT5G12010,151,244,127,2574,694,586
AT5G12020,4,1,2,282,83,31
AT5G12030,3,10,7,15,11,9
AT5G12040,414,299,124,340,138,95
AT5G12043,0,0,0,0,0,0
AT5G12050,54,122,33,0,1,57
AT5G12060,0,0,0,0,0,0
AT5G12070,0,0,0,0,0,0
AT5G12080,221,331,119,240,27,60
AT5G12090,0,1,0,0,0,0
AT5G12100,170,98,64,46,63,46
AT5G12110,316,574,285,968,229,257
AT5G12120,529,819,413,1585,400,583
AT5G12130,172,312,168,599,128,72
AT5G12140,1479,2110,722,6339,1183,1998
AT5G12150,664,1348,404,1259,284,317
AT5G12170,408,267,237,231,95,193
AT5G12180,0,0,2,1,31,4
AT5G12190,95,195,84,442,74,86
AT5G12200,171,345,141,415,48,122
AT5G12210,259,346,89,459,86,95
AT5G12220,79,69,47,240,113,111
AT5G12230,392,390,181,240,134,138
AT5G12235,3,35,0,0,0,0
AT5G12236,0,0,0,0,0,0
AT5G12240,124,132,56,212,97,36
AT5G12250,1366,1512,881,1890,623,725
AT5G12260,56,121,15,90,5,17
AT5G12270,0,0,0,0,0,0
AT5G12280,0,4,0,1,0,0
AT5G12290,183,258,75,248,33,114
AT5G12300,142,300,211,1108,146,247
AT5G12310,237,220,96,759,165,198
AT5G12320,52,57,9,2,51,37
AT5G12330,2,0,1,1,0,2
AT5G12340,0,3,0,290,121,80
AT5G12350,492,779,162,623,293,286
AT5G12360,42,97,6,45,0,5
AT5G12370,452,749,344,1070,369,442
AT5G12380,30,19,0,1,0,0
AT5G12390,64,98,82,112,188,49
AT5G12400,609,630,312,2247,432,700
AT5G12410,230,288,237,332,54,225
AT5G12420,20,9,0,4,0,4
AT5G12430,492,368,159,997,184,242
AT5G12440,281,507,161,504,40,72
AT5G12450,0,1,0,0,0,0
AT5G12460,0,0,0,0,0,0
AT5G12470,326,397,297,96,95,210
AT5G12480,279,284,205,2306,778,767
AT5G12840,174,181,43,401,125,95
AT5G12850,628,725,251,1089,244,276
AT5G12860,1414,2540,740,2383,381,509
AT5G12870,8,172,33,410,68,114
AT5G12880,0,0,0,1,0,30
AT5G12890,82,97,41,290,233,165
AT5G12900,168,268,135,88,16,30
AT5G12910,0,0,0,0,0,0
AT5G12920,0,43,0,2,3,1
AT5G12930,41,4,29,660,291,122
AT5G12940,9,28,3,424,7,8
AT5G12950,180,261,90,304,35,129
AT5G12960,0,0,0,0,0,7
AT5G12970,91,51,2,0,0,0
AT5G12980,23,25,17,3,9,6
AT5G12990,0,0,0,0,0,0
AT5G13000,2462,2450,950,2331,327,892
AT5G13010,734,996,459,1774,590,550
AT5G13020,382,349,119,953,313,329
AT5G13030,522,682,269,1996,311,282
AT5G13050,162,310,99,321,9,17
AT5G13060,93,35,22,384,27,7
AT5G13070,119,195,37,540,190,204
AT5G13080,0,3,0,2133,612,604
AT5G13090,69,158,99,556,152,147
AT5G13100,143,339,100,633,45,245
AT5G13110,51,140,76,131,35,48
AT5G13120,512,721,350,987,204,295
AT5G13130,12,48,25,0,0,0
AT5G13140,210,623,73,111,77,19
AT5G13150,0,0,0,0,0,1
AT5G13160,313,457,225,730,56,167
AT5G13170,0,0,0,1,0,0
AT5G13180,594,820,401,2309,791,922
AT5G13181,0,16,0,0,0,28
AT5G13190,118,110,74,2849,1255,893
AT5G13200,3,1,1,1096,113,235
AT5G13210,18,16,5,7419,2135,1672
AT5G13220,19,0,3,1246,249,199
AT5G13230,41,85,0,2,95,21
AT5G13240,112,248,53,391,52,140
AT5G13250,73,292,59,452,90,33
AT5G13260,356,487,56,329,27,164
AT5G13270,111,107,75,137,20,62
AT5G13280,369,420,250,2036,538,497
AT5G13290,303,274,122,241,126,78
AT5G13295,85,41,39,86,1,1
AT5G13300,624,763,462,962,305,288
AT5G13310,95,135,73,835,84,191
AT5G13320,1,12,0,3456,1345,906
AT5G13330,32,39,30,714,356,113
AT5G13340,78,142,89,180,91,76
AT5G13350,0,0,0,0,0,2
AT5G13360,39,131,64,201,90,58
AT5G13370,111,147,58,987,209,162
AT5G13380,0,6,0,0,0,0
AT5G13390,491,506,239,479,155,190
AT5G13400,0,15,9,1,0,7
AT5G13410,128,280,22,328,11,39
AT5G13420,288,522,118,1802,766,565
AT5G13430,544,632,267,1480,313,239
AT5G13440,650,955,357,1447,653,494
AT5G13450,1352,1547,703,2250,671,551
AT5G13460,35,211,16,104,0,23
AT5G13470,10,45,16,4,0,0
AT5G13480,136,208,47,194,72,60
AT5G13490,193,174,183,821,614,812
AT5G13500,182,119,96,247,141,180
AT5G13510,806,1599,594,1228,167,576
AT5G13520,355,314,97,559,124,173
AT5G13530,737,652,423,1199,455,655
AT5G13550,228,460,167,188,222,103
AT5G13560,333,441,277,1136,202,437
AT5G13565,23,7,19,0,16,21
AT5G13570,256,218,111,107,21,223
AT5G13580,0,4,1,44,1,15
AT5G13590,731,737,376,831,564,624
AT5G13600,0,0,0,0,0,0
AT5G13610,171,129,78,358,139,118
AT5G13620,0,0,0,0,1,0
AT5G13630,4277,5570,2481,10167,2124,3890
AT5G13640,196,355,79,505,124,345
AT5G13650,2003,2598,936,2178,362,819
AT5G13660,78,53,1,85,56,25
AT5G13670,46,0,6,50,41,0
AT5G13680,369,297,162,1262,211,244
AT5G13690,372,664,350,756,157,351
AT5G13700,13,143,15,81,174,107
AT5G13710,1089,1430,683,1112,365,635
AT5G13720,159,330,123,52,14,28
AT5G13730,200,399,268,6,160,23
AT5G13740,414,380,178,756,157,151
AT5G13750,134,167,85,577,154,185
AT5G13760,217,339,203,580,120,157
AT5G13770,431,435,214,299,61,155
AT5G13780,200,512,254,1477,303,313
AT5G13790,83,94,43,0,39,9
AT5G13800,393,209,230,710,118,238
AT5G13810,311,389,92,2077,801,753
AT5G13820,202,74,121,1057,23,133
AT5G13825,0,1,0,0,0,0
AT5G13830,2,6,0,0,0,10
AT5G13840,313,293,94,523,144,121
AT5G13850,536,561,284,1944,462,291
AT5G13860,14,54,75,1130,73,146
AT5G13870,48,40,45,0,1,14
AT5G13880,86,101,38,203,55,62
AT5G13890,92,193,138,95,140,86
AT5G13900,0,0,0,0,0,0
AT5G13910,0,0,5,0,0,0
AT5G13920,28,52,17,0,0,0
AT5G13930,5,2,1,41,7,8
AT5G13940,0,1,0,0,0,1
AT5G13950,573,626,309,715,58,267
AT5G13960,28,157,76,128,0,34
AT5G13970,168,177,144,237,205,57
AT5G13980,1295,1768,729,1665,390,821
AT5G13990,25,46,2,3,24,8
AT5G14000,14,11,1,1,1,3
AT5G14010,0,0,2,0,0,0
AT5G14020,1,0,0,0,0,0
AT5G14030,424,618,212,1736,186,464
AT5G14040,1014,1824,759,3136,1425,909
AT5G14050,189,259,155,1249,217,274
AT5G14060,519,809,351,682,116,338
AT5G14070,31,50,70,13,0,0
AT5G14080,118,128,30,55,83,33
AT5G14090,177,375,75,75,1,44
AT5G14100,86,129,81,0,0,4
AT5G14105,75,114,39,186,103,141
AT5G14110,0,5,0,0,6,4
AT5G14120,583,1514,440,657,271,374
AT5G14130,1,2,0,0,0,0
AT5G14140,103,44,47,0,2,16
AT5G14150,0,0,1,0,1,0
AT5G14160,13,2,0,0,0,0
AT5G14170,116,281,132,242,55,87
AT5G14180,1,0,38,4,0,0
AT5G14200,673,798,207,1121,507,320
AT5G14210,361,694,215,362,240,178
AT5G14220,129,380,115,605,54,102
AT5G14230,60,20,47,15,27,103
AT5G14240,354,260,186,269,175,215
AT5G14250,47,169,55,499,211,148
AT5G14260,800,1015,312,1310,291,454
AT5G14270,480,718,344,2046,376,552
AT5G14275,23,52,13,96,0,6
AT5G14280,14,28,52,123,8,9
AT5G14285,12,134,7,26,48,13
AT5G14290,0,0,0,0,0,0
AT5G14300,0,0,0,0,0,0
AT5G14310,195,231,83,947,133,301
AT5G14320,781,1672,593,1123,270,553
AT5G14330,48,15,8,5,2,37
AT5G14340,0,0,0,0,0,0
AT5G14345,0,0,0,0,0,0
AT5G14350,67,65,50,1,0,0
AT5G14360,0,0,0,0,2,0
AT5G14370,706,520,339,550,96,221
AT5G14380,3,5,0,0,1,0
AT5G14390,278,357,210,89,4,70
AT5G14400,22,10,4,2,1,0
AT5G14410,69,3,0,8,0,0
AT5G14420,175,276,106,125,13,219
AT5G14430,317,832,272,739,160,142
AT5G14440,272,292,90,931,277,152
AT5G14450,352,481,76,190,83,62
AT5G14460,234,399,247,454,132,70
AT5G14470,0,6,0,0,0,0
AT5G14480,86,110,22,39,52,54
AT5G14490,0,0,0,11,35,23
AT5G14500,135,215,48,707,41,47
AT5G14510,106,128,19,328,79,30
AT5G14515,106,119,19,324,79,30
AT5G14520,408,595,235,1436,681,667
AT5G14530,25,83,21,0,0,30
AT5G14540,403,391,266,1538,196,294
AT5G14550,376,542,163,804,135,140
AT5G14560,13,43,5,0,0,19
AT5G14570,164,244,179,264,141,197
AT5G14580,117,57,96,216,30,39
AT5G14590,307,527,148,114,105,44
AT5G14600,69,80,23,79,28,82
AT5G14602,0,1,0,0,0,7
AT5G14610,129,226,123,80,7,55
AT5G14620,128,163,63,56,32,41
AT5G14640,131,102,62,422,39,249
AT5G14650,28,50,6,46,0,0
AT5G14660,203,226,44,36,61,20
AT5G14670,0,0,0,0,0,0
AT5G14680,107,119,53,65,1,15
AT5G14690,0,1,1,0,1,0
AT5G14700,33,32,38,1863,532,591
AT5G14710,150,97,43,177,227,507
AT5G14720,565,1003,390,1146,625,585
AT5G14730,44,38,0,4762,685,857
AT5G14740,6254,11579,3891,4900,984,1562
AT5G14750,0,0,0,0,0,0
AT5G14760,159,225,90,1365,420,208
AT5G14770,110,63,32,102,85,74
AT5G14780,1519,1428,930,1697,766,1130
AT5G14790,119,133,71,25,35,112
AT5G14800,394,528,154,209,150,105
AT5G14820,0,0,0,1,0,0
AT5G14850,44,106,126,266,33,50
AT5G14860,0,1,0,0,0,0
AT5G14870,17,0,1,84,0,18
AT5G14880,722,841,368,704,365,187
AT5G14890,43,35,9,83,0,50
AT5G14895,0,1,0,0,0,0
AT5G14900,0,0,0,0,0,0
AT5G14910,582,1197,508,886,183,481
AT5G14920,1298,1569,816,1572,830,506
AT5G14930,88,88,31,1340,282,249
AT5G14940,403,352,293,3,8,64
AT5G14950,437,655,188,1400,89,272
AT5G14960,24,9,8,46,2,33
AT5G14970,457,553,360,603,192,190
AT5G14980,0,0,0,2,0,0
AT5G14990,0,7,0,0,0,0
AT5G14995,0,0,0,0,0,0
AT5G15000,0,0,0,0,0,0
AT5G15008,0,0,0,0,0,0
AT5G15010,41,57,10,16,16,54
AT5G15020,876,917,439,1922,486,445
AT5G15025,6,53,1,130,67,0
AT5G15030,0,0,0,1,0,0
AT5G15040,0,0,0,0,10,0
AT5G15050,96,136,59,78,0,5
AT5G15060,0,0,0,123,0,0
AT5G15070,37,145,95,7,28,186
AT5G15080,245,226,49,536,42,160
AT5G15090,792,983,381,7338,2601,1930
AT5G15100,0,0,0,1,0,1
AT5G15110,1,0,0,0,0,0
AT5G15120,2,0,10,4,0,0
AT5G15130,0,0,0,6,19,0
AT5G15140,0,0,0,0,0,0
AT5G15150,0,12,15,1,49,23
AT5G15160,0,0,0,0,0,0
AT5G15170,41,43,41,174,43,47
AT5G15180,56,25,4,99,0,0
AT5G15190,0,1,0,0,0,70
AT5G15200,1751,2936,850,3300,963,705
AT5G15210,295,282,184,400,68,102
AT5G15220,119,138,41,313,46,34
AT5G15230,1252,2579,716,2605,893,657
AT5G15240,0,11,37,6,0,8
AT5G15250,0,3,16,0,0,2
AT5G15260,149,201,148,244,67,108
AT5G15265,1,0,1,71,0,22
AT5G15270,296,402,201,1080,210,245
AT5G15280,92,134,31,245,15,3
AT5G15290,0,0,0,0,0,0
AT5G15300,70,13,0,1,0,30
AT5G15310,4,31,0,9,0,77
AT5G15320,310,472,226,1557,297,323
AT5G15330,147,201,31,19,0,4
AT5G15340,13,57,1,8,0,11
AT5G15350,172,439,112,255,91,133
AT5G15360,1,2,1,0,0,0
AT5G15380,0,0,0,0,0,0
AT5G15390,22,165,131,3,1,83
AT5G15400,590,704,622,1625,404,502
AT5G15410,255,392,144,381,45,164
AT5G15420,0,0,0,3,0,0
AT5G15430,1,11,0,1,0,0
AT5G15440,124,179,100,477,56,67
AT5G15450,572,549,303,937,35,200
AT5G15460,38,167,59,36,47,53
AT5G15470,212,232,126,612,119,174
AT5G15480,0,0,0,0,0,4
AT5G15490,396,865,318,4130,844,458
AT5G15500,0,0,0,93,0,0
AT5G15510,194,99,50,257,66,29
AT5G15520,41,72,97,74,150,72
AT5G15530,105,150,46,148,6,8
