,control_1,control_2,control_3,uvc_1,uvc_2,uvc_3
AT1G05620,42,75,30,143,14,47
AT1G05630,116,170,88,167,7,126
AT1G05640,78,166,111,14,24,33
AT1G05650,0,0,0,0,0,0
AT1G05660,0,0,0,0,0,0
AT1G05670,58,65,17,1342,375,274
AT1G05675,3,5,2,11144,2815,2765
AT1G05680,51,53,36,13997,4003,3717
AT1G05690,0,30,21,0,0,1
AT1G05700,0,12,3,79,0,10
AT1G05710,124,239,107,32,34,71
AT1G05720,99,161,76,66,37,93
AT1G05730,63,94,47,374,77,68
AT1G05740,0,0,0,0,0,0
AT1G05750,143,305,94,55,4,77
AT1G05760,81,268,57,39,0,62
AT1G05770,27,68,31,164,0,2
AT1G05780,11,31,51,0,28,1
AT1G05783,0,1,0,93,39,8
AT1G05785,38,60,10,1,28,15
AT1G05790,170,205,161,571,127,109
AT1G05800,0,0,0,463,147,119
AT1G05805,266,430,179,473,93,148
AT1G05810,91,136,65,100,7,12
AT1G05820,78,42,76,0,43,6
AT1G05830,492,543,275,629,175,409
AT1G05835,30,62,23,42,24,19
AT1G05840,220,337,135,424,8,38
AT1G05850,2097,2467,1221,5730,1660,1661
AT1G05860,143,182,64,92,99,94
AT1G05870,31,102,13,4,13,41
AT1G05880,0,1,0,427,167,86
AT1G05890,511,647,295,1166,385,251
AT1G05894,0,0,2,4,0,15
AT1G05900,117,140,94,602,1,49
AT1G05910,295,283,158,592,178,192
AT1G05920,0,0,0,0,0,0
AT1G05930,0,0,1,0,0,0
AT1G05940,238,408,147,244,200,91
AT1G05950,13,28,8,0,21,0
AT1G05960,258,390,147,1451,351,601
AT1G05970,40,47,0,114,38,1
AT1G05990,0,0,0,1102,159,143
AT1G06000,5,38,22,128,45,123
AT1G06010,93,74,11,22,66,1
AT1G06020,0,5,0,0,0,0
AT1G06030,0,0,0,0,0,0
AT1G06040,248,437,169,594,122,209
AT1G06045,126,202,119,268,10,43
AT1G06050,4,53,6,119,69,13
AT1G06060,134,218,71,60,58,47
AT1G06070,126,215,58,449,154,63
AT1G06080,0,0,1,0,0,0
AT1G06090,0,6,1,57,0,7
AT1G06100,0,3,0,0,0,0
AT1G06110,160,256,147,266,65,144
AT1G06120,0,0,0,0,0,0
AT1G06130,102,238,126,474,22,110
AT1G06135,0,0,0,168,6,0
AT1G06137,0,0,0,0,0,0
AT1G06140,35,14,4,0,0,33
AT1G06143,15,36,9,197,45,14
AT1G06150,945,951,314,1152,515,561
AT1G06148,20,25,0,247,36,49
AT1G06160,9,0,31,0,3,37
AT1G06170,0,1,3,0,0,28
AT1G06180,55,8,48,0,5,0
AT1G06190,349,411,294,500,142,136
AT1G06200,156,341,19,672,35,180
AT1G06210,177,270,165,856,167,120
AT1G06220,483,680,235,1113,437,338
AT1G06225,0,0,0,0,0,0
AT1G06230,710,728,361,2934,660,669
AT1G06240,182,158,42,130,8,37
AT1G06250,0,41,12,7,49,0
AT1G06260,35,33,4,138,17,5
AT1G06270,96,80,32,131,19,4
AT1G06280,0,0,0,0,0,0
AT1G06290,374,687,177,487,91,134
AT1G06310,0,4,0,4,0,0
AT1G06320,0,0,0,0,0,0
AT1G06330,0,0,0,0,0,0
AT1G06340,0,4,0,0,0,0
AT1G06350,0,0,0,0,0,0
AT1G06360,0,3,0,0,0,0
AT1G06380,94,85,57,462,147,92
AT1G06390,460,680,322,639,140,355
AT1G06400,246,357,146,320,149,178
AT1G06410,952,1152,388,1807,643,553
AT1G06420,1,26,6,15,0,6
AT1G06430,311,312,151,184,134,297
AT1G06440,17,31,19,282,5,47
AT1G06450,100,177,26,450,16,60
AT1G06460,1103,1296,497,910,298,598
AT1G06470,418,439,214,245,51,94
AT1G06475,214,94,19,0,0,0
AT1G06490,111,350,129,562,53,151
AT1G06500,50,88,19,7,8,4
AT1G06515,61,152,28,78,1,26
AT1G06510,86,146,101,31,32,10
AT1G06520,36,38,34,442,42,44
AT1G06530,671,778,411,2382,760,1185
AT1G06540,671,796,420,2382,760,1203
AT1G06550,179,260,112,500,220,212
AT1G06560,121,188,49,39,129,47
AT1G06570,94,134,3,267,191,142
AT1G06580,52,8,18,21,47,27
AT1G06590,98,142,51,419,180,116
AT1G06620,14,0,3,1445,546,435
AT1G06630,174,175,88,738,53,114
AT1G06640,149,228,35,431,184,131
AT1G06645,57,125,11,0,6,0
AT1G06650,350,297,87,375,11,149
AT1G06660,15,24,7,293,0,2
AT1G06670,486,653,286,1037,462,262
AT1G06680,4168,9790,2879,13920,3203,4760
AT1G06690,126,142,70,232,95,82
AT1G06700,401,775,444,1048,177,209
AT1G06710,53,58,18,101,0,31
AT1G06720,489,569,186,880,166,375
AT1G06730,104,118,50,114,0,23
AT1G06740,7,112,10,2,27,48
AT1G06750,0,40,0,1,0,14
AT1G06760,1010,1474,583,2036,459,526
AT1G06770,64,207,5,265,1,74
AT1G06780,144,154,99,651,153,150
AT1G06790,76,112,23,207,124,47
AT1G06800,44,42,27,591,76,38
AT1G06810,0,0,0,0,0,0
AT1G06820,400,333,226,882,155,268
AT1G06830,516,479,192,2061,577,619
AT1G06840,118,255,72,440,197,284
AT1G06850,128,127,77,0,35,2
AT1G06870,59,136,132,735,311,175
AT1G06890,335,756,197,948,158,321
AT1G06900,454,679,214,1202,179,248
AT1G06910,88,103,87,10,22,59
AT1G06920,0,0,0,0,0,0
AT1G06923,0,1,0,0,0,0
AT1G06925,0,0,0,0,0,0
AT1G06930,0,0,0,0,0,0
AT1G06950,967,1670,562,1580,380,415
AT1G06960,50,140,58,49,0,50
AT1G06970,0,0,0,0,0,12
AT1G06980,0,2,0,1,0,0
AT1G06990,0,3,0,4,0,0
AT1G07000,30,85,73,1185,322,506
AT1G07010,146,172,58,14,70,95
AT1G07020,63,188,37,195,93,101
AT1G07025,0,0,0,0,0,0
AT1G07030,173,134,125,324,340,226
AT1G07040,121,302,111,157,57,243
AT1G07050,261,363,260,209,68,48
AT1G07060,3,2,0,0,0,0
AT1G07070,71,129,10,0,24,12
AT1G07080,106,213,172,275,148,177
AT1G07090,92,113,77,14,2,60
AT1G07110,768,1050,439,935,219,338
AT1G07120,0,21,22,827,91,217
AT1G07130,18,50,48,1504,232,190
AT1G07135,233,167,126,6158,1832,1775
AT1G07140,1545,1758,1274,5741,1850,2085
AT1G07150,0,4,0,54,19,7
AT1G07160,0,1,0,75,23,43
AT1G07170,52,105,48,152,64,12
AT1G07175,0,0,0,1,0,0
AT1G07180,0,1,0,82,6,23
AT1G07190,0,0,0,0,0,0
AT1G07200,401,498,228,258,46,49
AT1G07210,192,305,119,529,103,81
AT1G07220,118,132,114,609,434,317
AT1G07230,447,255,227,217,110,196
AT1G07240,68,115,56,3047,438,414
AT1G07250,96,212,57,877,101,39
AT1G07260,21,28,2,1,5,2
AT1G07270,10,39,1,0,0,0
AT1G07280,731,868,433,678,337,384
AT1G07290,14,1,6,72,0,0
AT1G07300,43,64,21,26,11,5
AT1G07310,302,197,184,518,201,300
AT1G07320,1778,2704,1543,1771,634,1086
AT1G07330,21,19,0,0,0,0
AT1G07340,0,2,0,1,0,1
AT1G07350,202,144,49,271,73,58
AT1G07360,234,293,134,833,582,409
AT1G07370,61,121,39,32,25,70
AT1G07380,202,271,77,366,92,130
AT1G07390,2,33,18,1,0,26
AT1G07400,1,7,1,6,7,17
AT1G07410,9,24,22,0,0,0
AT1G07420,118,215,154,443,103,33
AT1G07430,12,0,0,628,68,83
AT1G07440,326,268,131,22,26,36
AT1G07450,0,2,1,0,0,0
AT1G07460,0,0,1,0,0,0
AT1G07470,85,249,96,224,269,202
AT1G07473,0,0,0,2,0,0
AT1G07476,0,0,2,0,22,0
AT1G07480,133,101,104,456,129,135
AT1G07485,15,30,14,0,18,0
AT1G07490,15,29,14,0,18,0
AT1G07510,458,427,290,4364,1050,1345
AT1G07500,0,0,3,285,3,41
AT1G07520,14,59,90,3218,713,975
AT1G07530,501,721,234,2021,423,614
AT1G07540,0,4,12,0,0,1
AT1G07550,0,0,2,1,0,0
AT1G07560,0,0,0,12,0,2
AT1G07570,27,30,2,9,31,13
AT1G07590,6773,6596,4947,23472,5082,7042
AT1G07600,4841,4492,3447,19067,3755,5682
AT1G07610,53,46,9,48,6,35
AT1G07615,79,52,8,404,0,24
AT1G07620,0,0,0,31,4,30
AT1G07630,151,175,22,1242,289,365
AT1G07640,1693,1573,796,2530,466,852
AT1G07650,509,343,214,347,49,385
AT1G07645,2,0,3,0,17,0
AT1G07660,61,93,118,398,57,42
AT1G07670,562,651,369,855,225,202
AT1G07680,0,0,0,0,0,0
AT1G07690,0,2,0,0,38,22
AT1G07700,164,207,111,89,49,115
AT1G07705,98,227,101,193,13,25
AT1G07710,0,18,11,0,6,13
AT1G07720,14,8,30,3,0,8
AT1G07725,78,80,36,116,4,50
